Date,^GDAXI,^GSPC,^N225
2019-05-31,11726.83984375,2752.06005859375,20601.189453125
2019-06-03,11792.8095703125,2744.449951171875,20410.880859375
2019-06-04,11971.169921875,2803.27001953125,20408.5390625
2019-06-05,11980.8095703125,2826.14990234375,20776.099609375
2019-06-06,11953.1396484375,2843.489990234375,20774.0390625
2019-06-07,12045.3798828125,2873.340087890625,20884.7109375
2019-06-10,,2886.72998046875,21134.419921875
2019-06-11,12155.8095703125,2885.719970703125,21204.279296875
2019-06-12,12115.6796875,2879.840087890625,21129.720703125
2019-06-13,12169.0498046875,2891.639892578125,21032.0
2019-06-14,12096.400390625,2886.97998046875,21116.890625
2019-06-17,12085.8203125,2889.669921875,21124.0
2019-06-18,12331.75,2917.75,20972.7109375
2019-06-19,12308.5302734375,2926.4599609375,21333.869140625
2019-06-20,12355.3896484375,2954.179931640625,21462.859375
2019-06-21,12339.919921875,2950.4599609375,21258.640625
2019-06-24,12274.5703125,2945.35009765625,21285.990234375
2019-06-25,12228.4404296875,2917.3798828125,21193.810546875
2019-06-26,12245.3203125,2913.780029296875,21086.58984375
2019-06-27,12271.0302734375,2924.919921875,21338.169921875
2019-06-28,12398.7998046875,2941.760009765625,21275.919921875
2019-07-01,12521.3798828125,2964.330078125,21729.970703125
2019-07-02,12526.7197265625,2973.010009765625,21754.26953125
2019-07-03,12616.240234375,2995.820068359375,21638.16015625
2019-07-04,12629.900390625,,21702.44921875
2019-07-05,12568.5302734375,2990.409912109375,21746.380859375
2019-07-08,12543.509765625,2975.949951171875,21534.349609375
2019-07-09,12436.5498046875,2979.6298828125,21565.150390625
2019-07-10,12373.41015625,2993.070068359375,21533.48046875
2019-07-11,12332.1201171875,2999.909912109375,21643.529296875
2019-07-12,12323.3203125,3013.77001953125,21685.900390625
2019-07-15,12387.33984375,3014.300048828125,
2019-07-16,12430.9697265625,3004.0400390625,21535.25
2019-07-17,12341.0302734375,2984.419921875,21469.1796875
2019-07-18,12227.849609375,2995.110107421875,21046.240234375
2019-07-19,12260.0703125,2976.610107421875,21466.990234375
2019-07-22,12289.400390625,2985.030029296875,21416.7890625
2019-07-23,12490.740234375,3005.469970703125,21620.880859375
2019-07-24,12522.8896484375,3019.56005859375,21709.5703125
2019-07-25,12362.099609375,3003.669921875,21756.55078125
2019-07-26,12419.900390625,3025.860107421875,21658.150390625
2019-07-29,12417.4697265625,3020.969970703125,21616.80078125
2019-07-30,12147.240234375,3013.179931640625,21709.310546875
2019-07-31,12189.0400390625,2980.3798828125,21521.529296875
2019-08-01,12253.150390625,2953.56005859375,21540.990234375
2019-08-02,11872.4404296875,2932.050048828125,21087.16015625
2019-08-05,11658.509765625,2844.739990234375,20720.2890625
2019-08-06,11567.9599609375,2881.77001953125,20585.310546875
2019-08-07,11650.150390625,2883.97998046875,20516.560546875
2019-08-08,11845.41015625,2938.090087890625,20593.349609375
2019-08-09,11693.7998046875,2918.64990234375,20684.8203125
2019-08-12,11679.6796875,2882.699951171875,
2019-08-13,11750.1298828125,2926.320068359375,20455.439453125
2019-08-14,11492.66015625,2840.60009765625,20655.130859375
2019-08-15,11412.669921875,2847.60009765625,20405.650390625
2019-08-16,11562.740234375,2888.679931640625,20418.810546875
2019-08-19,11715.3701171875,2923.64990234375,20563.16015625
2019-08-20,11651.1796875,2900.510009765625,20677.220703125
2019-08-21,11802.849609375,2924.429931640625,20618.5703125
2019-08-22,11747.0400390625,2922.949951171875,20628.009765625
2019-08-23,11611.509765625,2847.110107421875,20710.91015625
2019-08-26,11658.0400390625,2878.3798828125,20261.0390625
2019-08-27,11730.01953125,2869.159912109375,20456.080078125
2019-08-28,11701.01953125,2887.93994140625,20479.419921875
2019-08-29,11838.8798828125,2924.580078125,20460.9296875
2019-08-30,11939.2802734375,2926.4599609375,20704.369140625
2019-09-02,11953.7802734375,,20620.189453125
2019-09-03,11910.8603515625,2906.27001953125,20625.16015625
2019-09-04,12025.0400390625,2937.780029296875,20649.140625
